POSITION	NAME	AFFINITY
1	"4,5-di-p-trans-coumaroylquinic_acid"	-12.3
2	(+)-pipoxide	-11.4
3	thymelol	-11.4
4	ZINC000095485961	-11.2
5	rutamontine	-11.1
6	(-)-tingtanoxide	-11
7	tricoccin_S13_acetate	-11
8	lactupicrin	-11
9	naamidine_A	-11
10	ZINC000000134782	-10.9
11	sigmoidin_B_4'-methylether_diacetate	-10.9
12	(-)-pipoxide	-10.9
13	abyssinone_II	-10.8
14	(+)-strigol	-10.8
15	norisojamicin	-10.8
16	calopogonium_isoflavone_B	-10.8
17	isosamarcandin	-10.8
18	(+)-pipoxide-2-methyl_ether	-10.8
19	ZINC000095485890	-10.8
20	"1,6-di-O-p-hydroxybenzoyl-beta-D-glucopyranoside"	-10.7
21	ZINC000095486276	-10.7
22	enterolactone	-10.7
23	ZINC000095486323	-10.7
24	"6,7-dihydroxykaratavicinol"	-10.7
25	"8alpha-hydroxy-3beta-(benzoyloxy)-1alphaH,5alphaH,6betaH,7alphaH-guai-4(15),10(14),11(13)-trien-6,12-olide"	-10.7
26	ferulsinaic_acid	-10.7
27	3-(10-hydroxygeranyl)-4-hydroxy-p-coumaric_acid	-10.7
28	monathadiepoxide_methyl_ether	-10.7
29	coladin	-10.7
30	diversinin	-10.7
31	ZINC000013374323	-10.6
32	teucrin_F	-10.6
33	durmillone	-10.6
34	coladonin	-10.6
35	azadironolide	-10.6
36	polyanthin	-10.6
37	13-hydroxyfeselol_diacetate	-10.5
38	feselol	-10.5
39	neveskone	-10.5
40	crotohalimaneic_acid	-10.5
41	naamidine_G	-10.5
42	ZINC000038658035	-10.5
43	megalocarpoidolide_C	-10.4
44	isoarnottinin-4'-O-beta-D-glucoside	-10.4
45	toussaintine_D	-10.4
46	4beta-hydroxy-6alpha-benzoyl-7-daucen-9-one	-10.3
47	desmosdomutin	-10.3
48	isojamaicin	-10.3
49	"4beta,8beta-dihydroxy-6alpha-p-hydroxybenzoyl-dauc-9-ene"	-10.3
50	"(+)-piperitol-3,3-dimethylallyl_ether"	-10.3
51	silybin_A	-10.3
52	naamidine_D	-10.3
53	N-E-caffeoyl_tyramine	-10.3
54	farnesiferol_A	-10.3
55	4beta-hydroxy-6alpha(p-hydroxybenzoyloxy)-10alpha-angeloxydauc-7-ene	-10.3
56	3-oxo-gamma-costic_acid_beta-D-glucopyranoside_ester	-10.3
57	marmaricin	-10.2
58	ZINC000014811038	-10.2
59	ZINC000014557836	-10.2
60	12'-hydroxygymnastatin_N	-10.2
61	"diphenylpentanoid_(E)-1,5-bis(4-hydroxyphenyl)-pent-1-en-3-one"	-10.2
62	(-)-5-hydroxyprantschimgin	-10.1
63	ZINC000014618437	-10.1
64	englerin_B	-10.1
65	"7,7'-dihydroxy-6,8'-bicoumarin"	-10.1
66	ZINC000100003416	-10.1
67	daphenone	-10.1
68	3'-prenylnaringenin	-10.1
69	diversin	-10.1
70	"N1,N8-dibenzoylspermidine"	-10
71	5-p-trans-coumaroylquinic_acid	-10
72	ZINC000100003068	-10
73	"(3S)-3,7-dihydroxy-8-methoxy-3-(3',4'-methylenedioxybenzyl)chroman-4-one"	-10
74	assafoetidnol_A	-10
75	p-hydroxyphenethyl_trans-ferulate	-10
76	lanceolatin_B	-10
77	3-O-acetyl_chlorogenic_acid	-10
78	(-)-5-hydroxydeltoin	-10
79	(-)-semiglabrin	-10
80	ZINC000032296267	-10
81	enterofuran	-10
82	S-trans-marmin	-10
83	8-C-p-hydroxybenzylkaempferol	-10
84	antheindurolide_A	-10
85	ZINC000006091807	-10
86	paulownia	-10
87	"7-[(3'Z,5'E)-7'-hydroxy-3',7'-dimethyl-3',5'-octadienyloxy]coumarin"	-10
88	sigmoidin_B	-10
89	"ent-3-hydroxyatis-16(17)-ene-2,14-dione"	-10
90	transtaganolide_A	-9.9
91	citrinamide_A	-9.9
92	obovatin	-9.9
93	8-C-p-hydroxybenzylapigenin	-9.9
94	4-hydroxy-7-methoxyflavan	-9.9
95	Zopolrestat	-9.9
96	antheindurolide_B	-9.9
97	uguenenazole	-9.9
98	pinobanksin_3-(E)-caffeate	-9.9
99	S-(-)-trans-N-feruloyloctopamine	-9.9
100	jamaicin	-9.9
101	samarcandin	-9.9
102	chlorogenoquinone	-9.9
103	sarcophytolide	-9.9
104	uguenensene	-9.9
105	trans-N-feruloyltyramine	-9.9
106	scalarolide	-9.8
107	ferulagol_A	-9.8
108	"4beta,9alpha-dihydroxy-6alphabenzoyl-dauc-7-ene"	-9.8
109	ZINC000000900117	-9.8
110	3-[3-hydroxy-4-(3-methyl-but-2-enyl)-phenyl]-5-(-4-hydroxybenzyl)-4-methyl-dihydrofuran-2(3H)-one	-9.8
111	ZINC000035941652	-9.8
112	"5,7,3'-trihydroxy-4'-methoxy-5'-(3-hydroxy-3-methylbuten-1-yl]isoflavanone"	-9.8
113	11'-carboxygymnastatin_N	-9.8
114	ZINC000014441500	-9.8
115	"2(S),3',4'-dihydroxy-7-methoxyflavan"	-9.8
116	hellebrigenin_3-acetate	-9.8
117	antheindurolide_A	-9.8
118	toussaintine_E	-9.8
119	pratorinine	-9.8
120	epimonanthadiepoxide	-9.8
121	ottelione_B	-9.8
122	isosilybin_B	-9.8
123	ZINC000033963863	-9.8
124	(-)-prantschimgin	-9.8
125	"urs-12-ene-1beta,3beta,11alpha,15alpha-tetraol"	-9.7
126	penicillivinacine	-9.7
127	crotonimide_C	-9.7
128	ZINC000095485880	-9.7
129	subereamine_B	-9.7
130	englerin_A	-9.7
131	2-acetoxy-6-p-methoxybenzoyl-jaeschkeanadiol	-9.7
132	"2,3-epoxy-jaeschkeanadiol_p-hydroxybenzoate"	-9.7
133	"(1S,3S,5R,6R,7R,8S)-8-_angelyloxy-3-hydroxyguai-3(15),10(14),11(13)-trien-6,12-olide"	-9.7
134	gummosin	-9.7
135	5-feruloyl_quinic_acid	-9.7
136	3-O-caffeoylquinic_methyl_ester	-9.7
137	"5,7-dihydroxy-3-(hydroxy-phenyl-methyl)-6-methoxy-chroman-4-one"	-9.7
138	abyssinin_II	-9.7
139	2beta-hydroxy-6-p-benzoyloxybenzoyljaeschkeanadiol	-9.7
140	ZINC000085967903	-9.7
141	acetyldrimartol_A	-9.7
142	ZINC000014594077	-9.7
143	teucrol	-9.7
144	calopogonium_isoflavone_A	-9.7
145	(+)-sclerotioramin	-9.7
146	6-geranyloxycarbonylmethyl-5-methoxycarbonylmethylpyran-2-one	-9.7
147	arctigenin	-9.7
148	5-deoxyabyssinin_II	-9.7
149	rosmarinic_acid	-9.7
150	terretrione_A	-9.7
151	3-oxomarrubiin	-9.7
152	ZINC000095485990	-9.7
153	ZINC000085967928	-9.7
154	"chrysophanol-10,10'-bianthrone"	-9.7
155	4'-O-methylsigmoidin_B	-9.6
156	15-O-methyllatrunculin_B	-9.6
157	capillarol	-9.6
158	drimartol_A	-9.6
159	latrunculin_T	-9.6
160	17alpha-hydroxycabraleahydroxylactone	-9.6
161	stylopine	-9.6
162	3beta-O-(2-methylbutyryl)-moroccolide_A	-9.6
163	ZINC000100003085	-9.6
164	otostegindiol	-9.6
165	ZINC000095486171	-9.6
166	(-)-samarcandone	-9.6
167	O-acetylcrinine	-9.6
168	sesamin	-9.6
169	seneganolide	-9.6
170	ZINC000019366648	-9.6
171	matairesinol	-9.6
172	uguenenonamide	-9.6
173	pinobanksin	-9.6
174	daphnelone	-9.6
175	subereamine_A	-9.6
176	marmin	-9.6
177	"3,3',5,5',7-pentahydroxyflavanone"	-9.6
178	pituranthoside	-9.6
179	"2',4'-dihydroxy-6'-methoxychalcone"	-9.5
180	jaeschkeanadiol_p-methoxybenzoate	-9.5
181	"4-hydroxy-2',4_'-dimethoxy-dihydrochalcone"	-9.5
182	ZINC000001724917	-9.5
183	ZINC000005230095	-9.5
184	flavan-3-ol	-9.5
185	"4,5-methylenedioxy-4'-hydroxy-2-aldehyde[1,1'-biphenyl]"	-9.5
186	ZINC000085967755	-9.5
187	"5-alpha-hydroxy-8alpha-methylbutanoyloxy-2-oxo-11,13-dehydroguaia-1(10),3-dien-6alpha,12-olide"	-9.5
188	ZINC000014441502	-9.5
189	6'-hydroxy-beta-cycloauraptene	-9.5
190	zaluzanin_D	-9.5
191	badkhysin	-9.5
192	"2',4'-dihydroxy-3',6'-dimethoxychalcone"	-9.5
193	(+)-1-hydroxypinoresinol	-9.5
194	(-)-mesquitol	-9.5
195	19-deacetylteuscorodol	-9.5
196	aranorosinol_B	-9.5
197	apigenin_7-O-alpha-L-rhamnopyranoside	-9.5
198	ZINC000095486325	-9.5
199	(-)-deltoin	-9.5
200	"(10R)-3',4'-dihydro-1,4,8,3',8',9'-hexahydroxy-3,3'-dimethyl-[10,7'-bianthracene]-9,1'(10H,2'H)-dione"	-9.5
201	toussaintine_A	-9.5
202	demethoxyexcelsin	-9.5
203	3-tropoyloxy-6-isobutyryloxytropane	-9.5
204	betaxanthin	-9.5
205	3-(3'-methoxytropoyloxy)tropane	-9.5
206	eriodictyol_7-methyl_ether	-9.4
207	sesterstatin_7	-9.4
208	lanuginosine	-9.4
209	acacetin-7-O-beta-glucopyranoside	-9.4
210	tectochrysin	-9.4
211	apigenin-7-O-rhamnoside	-9.4
212	ZINC000095485955	-9.4
213	latrunculin_A	-9.4
214	luteolin	-9.4
215	ZINC000095486193	-9.4
216	daturametelin_D	-9.4
217	ZINC000095485987	-9.4
218	2-(p-hydroxybenzyl)-7-methoxybenzofuran-6-ol	-9.4
219	formononetin	-9.4
220	6-demethyldurallone	-9.4
221	"(2S,4aS,5S,6R,8aS)-5-(2-((1S,3aS,5R,8aS,Z)-1-hydroxy-1,4,4,6-tetramethyl-1,2,3,3a,4,5,8,8a-octahydroazulen-5-yl)-ethyl)-4a,6-dimethyloctahydro-2H-chromene-2,6-diol"	-9.4
222	"11,12-dehydroanhydrolycorine"	-9.4
223	"5,7-dihydroxy-4'-methoxy-3'-(2,3-dihydroxy-3-methylbutyl)isoflavone"	-9.4
224	citriquinochroman	-9.4
225	"3',5'-diformyl-2',4',6'-trihydroxychalcone"	-9.4
226	(+)-catechin	-9.4
